"Build your query using a json.<br/>
For example :<br/>
<pre>
{
    ""search"": {
        ""enabled"": [{
            ""operator"": ""="",
            ""value"": true
        }],
        ""sku"": [{
            ""operator"": ""STARTS WITH"",
            ""value"": ""A""
        }]
    },
    ""scope"": ""ecommerce"",
    ""locales"": ""fr_FR,de_DE""
}</pre>","Erstelle deine Suchanfrage mit einem json.<br/>
Zum Beispiel :<br/>
<pre>
{
    ""search"": {
        ""enabled"": [{
            ""operator"": ""="",
            ""value"": true
        }],
        ""sku"": [{
            ""operator"": ""STARTS WITH"",
            ""value"": ""A""
        }]
    },
    ""scope"": ""ecommerce"",
    ""locales"": ""fr_FR,de_DE""
}</pre>"
"%1 Import already running","%1 Import läuft bereits"
"%1 Import code not found","%1 Import-Code nicht gefunden"
"%1 Start import","%1 Import starten"
"--code","--code",
"Akeneo API client ID","Akeneo API-Client-ID"
"Akeneo API client secret","Akeneo-API-Client-Geheimnis"
"Akeneo API Configuration","Akeneo-API-Konfiguration"
"Akeneo base URL","Akeneo Basis-URL"
"Akeneo password","Akeneo Passwort"
"Akeneo username","Akeneo Benutzername"
"Area code already set","Ortsvorwahl bereits eingestellt"
"Asset import is not enabled","Asset-Import ist nicht aktiviert"
"Available codes:","Verfügbare Codes:"
"Channel","Kanal"
"Completeness type","Vollständigkeitstyp"
"Completeness value","Vollständigkeitswert"
"Differ","Unterscheiden"
"Disabled","Deaktiviert"
"Duplicates sku detected. Make sure Product Model code is not used for a simple product sku. Duplicates: %1","Duplicate sku detected. Make sure Product Model code is not used for a simple product sku. Duplicates: %1"
"Enabled","Freigegeben"
"Equals","Gleich"
"Example:","Beispiel:"
"Families","Familie"
"Filter products","Filterprodukte"
"Greater or equals than on all locales","Größer oder gleich als in allen Gebietsschemata"
"Greater or equals than","Größer oder gleich"
"Greater than on all locales","Größer als in allen Gebietsschemata"
"Greater than","Größer als"
"Import API","API importieren"
"Import Asset Files","Asset-Dateien importieren"
"Import ID : %1","Import-ID: %1"
"Import Media Files","Mediendateien importieren"
"Import only product updated since last X days. Leave blank for no filter.","Import only product updated since last X days. Leave blank for no filter."
"Import","Importieren"
"Is Akeneo enterprise","Akeneo ist eine Unternehmensausgabe"
"Locales","Sprachumgebungen"
"Lower or equals than on all locales","Niedriger oder gleich als in allen Gebietsschemata"
"Lower or equals than","Niedriger oder gleich als"
"Lower than on all locales","Niedriger als in allen Gebietsschematas"
"Lower than","Niedriger als"
"Magento Attribute","Magento-Attribut"
"Match Magento website with Pim channel","Magento-Webseite mit Pim-Kanal verknüpfen"
"Media import is not enabled","Medienimport ist nicht aktiviert"
"Must be a value between 1 and 100. Default value is 10.","Muss ein Wert zwischen 1 und 100 sein. Der Standardwert ist 10."
"No condition","Keine Kondition"
"No options found","Keine Optionen gefunden"
"No results from Akeneo","Keine Ergebnisse von Akeneo"
"Only available on Pim Enterprise","Nur in Pim Enterprise verfügbar"
"Options:","Optionen:"
"Pagination size","Seitengröße"
"PIM API connection error","PIM API verbindungsfehler"
"PIM Asset Attributes is empty","PIM Asset Attribute ist leer"
"PIM Asset Attributes","PIM Asset Attribute"
"PIM Attribute","PIM-Attribut"
"PIM Images Attributes is empty","PIM-Bildattribute ist leer"
"PIM Images Attributes","PIM-Bildattribute"
"Pimgento Section","Pimgento-Sektion"
"Pimgento","Pimgento"
"Pimgento","Pimgento"
"pimgento:import --code=%1","pimgento:import --code=%1"
"Product Images Mapping","Produktbildmapping"
"Select import type:","Import-Typ auswählen:"
"Select the channel to apply the completeness filter on","Wählen Sie den Kanal, auf dem der Vollständigkeitsfilter angewendet werden soll"
"Select the families you don't want to retrieve products from.<br/> If the multiselect is empty, it means you don't have any families in your Akeneo, or the provided credentials are wrong.","Wähle die Familien, aus denen du keine Produkte abrufen möchtest, aus.<br/> Wenn der Multiselect leer ist, bedeutet dies, dass du keine Familien in deinem Akeneo hast, oder die angegebenen Zugangsdaten falsch sind"
"Select the locales to apply the completeness filter on","Wählen Sie die Gebietsschemata, in denen der Vollständigkeitsfilter angewendet werden soll"
"Start import","Importieren starten"
"Status","Status"
"Test API credentials","Test API Anmeldedaten"
"The Akeneo user should have permissions to list","Der Akeneo-Benutzer sollte Berechtigungen zum Auflisten haben"
"The connection is working fine","Die Verbindung funktioniert einwandfrei"
"Updated","Updated"
"Waiting for import...","Warten auf den Import..."
"Warning: %1 attribute does not exist","Warnung: %1 Attribut existiert nicht"
"Website Mapping","Website-Mapping"
"Website","Webseite"
"Regenerate url rewrites","URL-Rewrites regenerieren"
"Url rewrite generation is not enabled","URL-Rewrites generation ist nich aktiviert"
